,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
745,165000,2009.0,Chery,Alia,1.6L Acteco Lusso,155.0,Düz,LPG & Benzin,Önden Çekiş,52.0,1597.0,112.0,"1 değişen, 8 boyalı",8,1
746,146362,2000.0,Tofaş,Kartal,1.6 ie,87.54,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,83.0,,0,0
747,115000,1997.0,Renault,R 19,1.6 Europa RT,273.0,Düz,LPG & Benzin,Önden Çekiş,,1598.0,90.0,,0,0
748,115000,1996.0,Tofaş,Şahin,S,122.0,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,80.0,,0,0
749,4000,,Renault,Zoe,2020,,Elektrik,Sedan,,,,,,0,0
750,345000,2013.0,Fiat,Linea,1.3 Multijet Pop,143.5,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,1 değişen,0,1
751,193000,2008.0,Skoda,Fabia,1.2 Classic,166.7,Düz,Benzin,Önden Çekiş,45.0,1198.0,64.0,"1 değişen, 5 boyalı",5,1
752,510000,2017.0,Renault,Megane,1.6 Joy,115.0,Düz,Benzin,Önden Çekiş,49.0,1598.0,115.0,,0,0
753,415000,2013.0,Volkswagen,Jetta,1.6 TDi Highline,255.0,Düz,Dizel,Önden Çekiş,55.0,1598.0,105.0,,0,0
754,248000,2011.0,Renault,Fluence,1.6 Expression,269.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1598.0,110.0,,0,0
755,715000,2014.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,306.0,Yarı Otomatik,Dizel,Önden Çekiş,66.0,1598.0,120.0,,0,0
756,240000,2015.0,Peugeot,208,1.4 HDi Active,182.0,Düz,Dizel,Önden Çekiş,50.0,1398.0,69.0,11 boyalı,11,0
757,720000,2008.0,Audi,A5,A5 Coupe 1.8 TFSI,165.0,Düz,Benzin,Önden Çekiş,64.0,1798.0,170.0,,0,0
758,765000,2020.0,Ford,Focus,1.5 Ti-VCT Trend X,10.3,Otomatik,Benzin,Önden Çekiş,52.0,1497.0,123.0,,0,0
759,264000,2008.0,Peugeot,207,1.4 HDi Trendy,219.0,Düz,Dizel,Önden Çekiş,50.0,1398.0,71.0,5 boyalı,5,0
760,165000,1999.0,Renault,Megane,1.6 RTE,235.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1598.0,90.0,1 değişen,0,1
761,435000,2019.0,Fiat,Egea,1.4 Fire Easy,39.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1368.0,95.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
